City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Igualada,ES,41.581,1.6172,45.64,85,0,1.99,clear sky
1,Luderitz,NA,-26.6481,15.1594,77.83,60,59,10.74,broken clouds
2,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,24.16,light snow
3,Punta Arenas,CL,-53.15,-70.9167,57.31,58,75,23.02,broken clouds
4,Salinas,US,36.6777,-121.6555,69.8,41,0,10.36,clear sky
5,Busselton,AU,-33.65,115.3333,63.09,80,40,14.94,scattered clouds
6,Egvekinot,RU,66.3167,-179.1667,-16.29,97,100,4.72,overcast clouds
7,Ostrovnoy,RU,68.0531,39.5131,28.76,94,100,32.99,overcast clouds
8,Iqaluit,CA,63.7506,-68.5145,-7.87,59,100,5.75,light snow
9,Birjand,IR,32.8663,59.2211,25.27,68,0,4.61,clear sky
10,New Norfolk,AU,-42.7826,147.0587,62.71,73,95,1.16,overcast clouds
11,Mookane,BW,-23.688,26.6595,69.15,49,6,5.86,clear sky
12,Barrow,US,71.2906,-156.7887,-0.38,71,100,5.75,overcast clouds
13,Port Alfred,ZA,-33.5906,26.891,73.98,76,0,25.05,clear sky
14,Hilo,US,19.7297,-155.09,76.12,76,40,3.44,scattered clouds
15,Touros,BR,-5.1989,-35.4608,85.1,73,7,10.27,clear sky
16,Tres Arroyos,AR,-38.3739,-60.2798,84.36,28,39,7.78,scattered clouds
17,Charters Towers,AU,-20.1,146.2667,72.93,78,68,9.13,broken clouds
18,Atuona,PF,-9.8,-139.0333,78.67,77,17,18.63,light rain
19,Oranjemund,NA,-28.55,16.4333,74.7,66,74,9.64,broken clouds
20,Olafsvik,IS,64.8945,-23.7142,27.64,60,100,22.73,overcast clouds
21,Chapleau,CA,47.8405,-83.4034,1.49,60,20,9.22,few clouds
22,Jamestown,US,42.097,-79.2353,26.1,65,100,3.0,mist
23,Rikitea,PF,-23.1203,-134.9692,78.48,73,98,16.11,overcast clouds
24,Gisborne,NZ,-38.6533,178.0042,67.95,72,100,2.86,overcast clouds
25,Mataura,NZ,-46.1927,168.8643,55.47,57,67,1.52,broken clouds
26,Pedernales,DO,18.0384,-71.744,81.37,59,0,4.07,clear sky
27,Broken Hill,AU,-31.95,141.4333,76.71,50,100,10.36,overcast clouds
28,Luau,AO,-10.7073,22.2247,63.3,96,56,1.34,light rain
29,Poso,ID,-1.3959,120.7524,77.9,81,100,3.47,overcast clouds
30,Grindavik,IS,63.8424,-22.4338,30.67,74,75,19.57,snow
31,Salalah,OM,17.0151,54.0924,64.08,28,0,13.58,clear sky
32,Thompson,CA,55.7435,-97.8558,-7.44,59,20,10.36,few clouds
33,Mount Gambier,AU,-37.8333,140.7667,66.11,68,70,6.91,broken clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,100,9.22,light snow
35,Hithadhoo,MV,-0.6,73.0833,82.02,69,23,16.2,few clouds
36,Kavieng,PG,-2.5744,150.7967,82.11,72,42,4.27,light rain
37,Dikson,RU,73.5069,80.5464,-10.61,100,100,15.9,overcast clouds
38,Provideniya,RU,64.3833,-173.3,10.51,85,75,8.95,light snow
39,Avarua,CK,-21.2078,-159.775,80.65,89,75,18.41,broken clouds
40,Warrington,GB,53.3925,-2.5802,41.45,86,100,1.01,overcast clouds
41,Lavrentiya,RU,65.5833,-171.0,-0.85,99,100,6.51,overcast clouds
42,Saint-Philippe,RE,-21.3585,55.7679,80.19,82,34,8.72,scattered clouds
43,Saskylakh,RU,71.9167,114.0833,-14.94,100,95,4.9,overcast clouds
44,Laguna,US,38.421,-121.4238,68.43,65,0,1.99,haze
45,Ushuaia,AR,-54.8,-68.3,56.86,54,75,4.61,broken clouds
46,Kapaa,US,22.0752,-159.319,75.47,71,75,1.99,broken clouds
47,Ponta Do Sol,PT,32.6667,-17.1,65.71,78,100,5.64,overcast clouds
48,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,69,34,6.55,scattered clouds
49,Ribeira Grande,PT,38.5167,-28.7,59.4,67,20,10.36,few clouds
50,Lompoc,US,34.6391,-120.4579,74.7,53,0,6.91,clear sky
51,Pangnirtung,CA,66.1451,-65.7125,-2.2,60,75,4.61,broken clouds
52,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,78,17,11.21,few clouds
53,Carnarvon,AU,-24.8667,113.6333,78.87,73,2,19.57,clear sky
54,Morro Bay,US,35.3658,-120.8499,74.25,40,0,1.01,clear sky
55,Port Elizabeth,ZA,-33.918,25.5701,73.09,88,0,8.05,clear sky
56,Ayan,RU,56.45,138.1667,5.9,63,87,15.05,overcast clouds
57,Fenyi,CN,27.8112,114.6681,41.92,91,100,4.36,overcast clouds
58,Yenagoa,NG,4.9247,6.2642,79.36,78,18,4.43,few clouds
59,Nahariyya,IL,33.0059,35.0941,47.98,84,100,3.0,overcast clouds
60,Kruisfontein,ZA,-34.0033,24.7314,70.88,59,0,2.93,clear sky
61,Puerto Escondido,MX,15.85,-97.0667,84.6,51,2,6.85,clear sky
62,Albany,US,42.6001,-73.9662,30.27,60,100,2.06,overcast clouds
63,Butaritari,KI,3.0707,172.7902,81.73,80,98,18.77,overcast clouds
64,Goderich,CA,43.7501,-81.7165,16.92,67,67,11.5,broken clouds
65,Yerbogachen,RU,61.2767,108.0108,-13.54,100,99,4.27,overcast clouds
66,Bluff,NZ,-46.6,168.3333,55.8,61,87,2.91,overcast clouds
67,Bengkulu,ID,-3.8004,102.2655,74.98,90,70,3.6,broken clouds
68,Menongue,AO,-14.6585,17.691,68.4,67,100,3.53,overcast clouds
69,Alofi,NU,-19.0595,-169.9187,82.29,78,20,8.05,few clouds
70,Popondetta,PG,-8.7537,148.2534,75.09,93,100,2.24,overcast clouds
71,Salym,RU,60.0625,71.4789,-6.32,100,90,3.4,overcast clouds
72,Georgetown,MY,5.4112,100.3354,78.73,93,20,5.01,few clouds
73,Zhanaozen,KZ,43.3,52.8,31.12,67,100,24.79,overcast clouds
74,Tambacounda,SN,13.7539,-13.7586,86.05,13,0,9.22,clear sky
75,Lorengau,PG,-2.0226,147.2712,82.47,79,89,11.61,moderate rain
76,Takoradi,GH,4.8845,-1.7554,79.2,85,5,6.82,clear sky
77,Coos Bay,US,43.3665,-124.2179,63.23,73,0,6.91,clear sky
78,Zatoka,UA,46.0725,30.4654,28.94,78,71,19.71,broken clouds
79,Vostok,RU,46.4856,135.8833,-16.96,99,88,4.41,overcast clouds
80,Narrabri,AU,-30.3167,149.7833,67.51,79,74,1.99,broken clouds
81,Arrifes,PT,37.7667,-25.7,57.24,77,20,5.75,few clouds
82,Pontianak,ID,-0.0333,109.3333,75.18,100,75,1.14,broken clouds
83,Castro,BR,-24.7911,-50.0119,83.61,58,1,1.92,clear sky
84,Harper,LR,4.375,-7.7169,78.98,83,0,7.27,clear sky
85,Salta,AR,-24.7859,-65.4117,68.58,94,100,1.99,thunderstorm
86,Beloha,MG,-25.1667,45.05,74.01,82,95,19.26,overcast clouds
87,Campoverde,PE,-8.4753,-74.8058,85.69,59,36,2.01,scattered clouds
88,Jasrana,IN,27.25,78.6833,51.13,95,7,7.74,clear sky
89,Mehamn,NO,71.0357,27.8492,41.18,70,0,33.38,clear sky
90,Havoysund,NO,70.9963,24.6622,43.68,78,100,39.06,overcast clouds
91,Hamilton,US,39.1834,-84.5333,36.09,74,75,3.0,moderate rain
92,Muswellbrook,AU,-32.2667,150.9,67.33,86,100,4.38,overcast clouds
93,Nandurbar,IN,21.3667,74.25,57.97,48,2,6.38,clear sky
94,Puerto Ayora,EC,-0.7393,-90.3518,82.36,80,100,10.85,overcast clouds
95,Cherskiy,RU,68.75,161.3,-31.81,96,100,4.29,overcast clouds
96,Wang Saphung,TH,17.301,101.7685,71.1,79,8,1.92,clear sky
97,Deputatskiy,RU,69.3,139.9,-22.5,98,99,5.57,overcast clouds
98,Chokurdakh,RU,70.6333,147.9167,-21.57,100,100,6.29,overcast clouds
99,Kontagora,NG,10.3999,5.4695,77.79,16,2,6.62,clear sky
100,Grand Gaube,MU,-20.0064,57.6608,81.0,85,70,1.99,broken clouds
101,Airai,TL,-8.9266,125.4092,60.73,87,100,2.64,overcast clouds
102,San Andres,CO,12.5847,-81.7006,84.22,70,40,11.5,scattered clouds
103,Walla Walla,US,46.0646,-118.343,48.15,93,100,3.44,mist
104,Diu,IN,20.7141,70.9822,59.45,55,5,9.64,clear sky
105,Torbay,CA,47.6666,-52.7314,28.76,91,100,20.71,overcast clouds
106,Lagoa,PT,39.05,-27.9833,59.25,63,28,8.3,scattered clouds
107,Saint-Augustin,CA,51.226,-58.6502,8.64,98,98,2.75,overcast clouds
108,Marovoay,MG,-16.1,46.6333,71.74,96,100,8.93,overcast clouds
109,Acapulco,MX,16.8634,-99.8901,84.97,52,26,9.75,scattered clouds
110,Linxia,CN,35.6003,103.2064,25.74,49,96,3.09,overcast clouds
111,Buala,SB,-8.145,159.5921,83.14,78,66,5.55,broken clouds
112,Sebinkarahisar,TR,40.2883,38.4236,19.18,90,91,1.74,light snow
113,Tual,ID,-5.6667,132.75,82.94,77,100,13.33,light rain
114,Bredasdorp,ZA,-34.5322,20.0403,68.29,73,40,9.82,scattered clouds
115,Bandarbeyla,SO,9.4942,50.8122,74.8,70,1,17.2,clear sky
116,Yellowknife,CA,62.456,-114.3525,-15.59,77,75,5.75,broken clouds
117,Vaini,TO,-21.2,-175.2,81.03,71,17,10.22,few clouds
118,Yantal,RU,56.8471,105.2542,-13.45,100,100,1.14,overcast clouds
119,Broome,US,42.2506,-75.833,30.02,73,100,5.01,overcast clouds
120,Waipawa,NZ,-41.4122,175.5153,64.92,84,100,8.03,overcast clouds
121,Dingle,PH,10.9995,122.6711,73.89,94,85,6.8,overcast clouds
122,Angoche,MZ,-16.2325,39.9086,77.99,90,100,18.77,heavy intensity rain
123,Hobart,AU,-42.8794,147.3294,63.05,88,75,5.75,broken clouds
124,Bayji,IQ,34.9311,43.487,44.85,46,1,8.86,clear sky
125,Namatanai,PG,-3.6667,152.4333,80.47,80,93,2.33,overcast clouds
126,Cape Town,ZA,-33.9258,18.4232,69.28,88,75,14.97,broken clouds
127,Bousse,BF,12.6606,-1.8922,72.97,13,0,9.46,clear sky
128,Talnakh,RU,69.4865,88.3972,-3.62,100,100,5.08,overcast clouds
129,Hermanus,ZA,-34.4187,19.2345,68.9,95,37,5.86,scattered clouds
130,Khatanga,RU,71.9667,102.5,-21.5,100,100,2.62,overcast clouds
131,Ontario,US,34.0633,-117.6509,74.53,22,0,3.0,clear sky
132,Longyearbyen,SJ,78.2186,15.6401,11.34,92,64,6.73,broken clouds
133,Parabel,RU,58.6978,81.4825,-7.28,100,100,2.39,overcast clouds
134,Pimenta Bueno,BR,-11.6725,-61.1936,82.8,78,86,2.04,very heavy rain
135,Severo-Kurilsk,RU,50.6789,156.125,24.93,73,99,11.23,overcast clouds
136,Hovd,MN,48.0056,91.6419,-3.12,74,5,5.75,clear sky
137,Aklavik,CA,68.2191,-135.0107,2.23,78,75,4.61,broken clouds
138,Port Augusta,AU,-32.5,137.7667,72.72,76,3,7.58,clear sky
139,Tiksi,RU,71.6872,128.8694,-6.92,99,100,3.91,overcast clouds
140,Meulaboh,ID,4.1363,96.1285,75.07,90,100,3.91,overcast clouds
141,Ape,LV,57.5393,26.6929,26.71,95,99,7.11,light snow
142,Nikolskoye,RU,59.7035,30.7861,27.88,95,91,8.34,overcast clouds
143,Half Moon Bay,US,37.4636,-122.4286,67.15,50,0,1.99,haze
144,Victoria,HK,22.2855,114.1577,68.95,93,78,1.99,light rain
145,Cheney,US,47.4874,-117.5758,38.98,94,100,4.61,mist
146,Qaanaaq,GL,77.484,-69.3632,-5.01,75,100,4.16,overcast clouds
147,Shumskiy,RU,54.8318,99.1328,6.67,98,100,1.32,overcast clouds
148,Sao Filipe,CV,14.8961,-24.4956,74.97,71,100,12.75,overcast clouds
149,Mayo,US,38.8876,-76.5119,40.33,58,75,5.99,broken clouds
150,Nishihara,JP,26.1842,127.7558,69.85,97,100,13.8,overcast clouds
151,Zyryanka,RU,65.75,150.85,-25.87,98,100,4.27,overcast clouds
152,Codrington,AU,-38.2667,141.9667,75.85,40,100,5.35,overcast clouds
153,Pevek,RU,69.7008,170.3133,-12.68,96,100,18.52,overcast clouds
154,Houma,US,29.5958,-90.7195,55.0,33,3,6.17,clear sky
155,Haines Junction,CA,60.7522,-137.5108,30.15,69,98,2.3,overcast clouds
156,Tall Kayf,TR,37.0833,41.0667,35.91,86,100,15.32,light rain
157,Barahona,DO,18.2085,-71.1008,84.02,58,20,16.11,few clouds
158,East London,ZA,-33.0153,27.9116,74.08,75,0,22.17,clear sky
159,Mukhen,RU,48.1,136.1,-11.06,97,88,3.78,overcast clouds
160,Lensk,RU,60.7253,114.9278,-10.19,100,100,3.56,overcast clouds
161,Filingue,NE,14.3521,3.3168,70.47,12,0,11.03,clear sky
162,Bethel,US,41.3712,-73.414,35.69,52,0,9.22,clear sky
163,Vaitape,PF,-16.5167,-151.75,81.32,71,75,17.05,broken clouds
164,Vilcun,CL,-38.65,-72.2333,65.14,48,80,6.82,broken clouds
165,Jalu,LY,29.0331,21.5482,51.6,61,11,8.08,few clouds
166,Pietersburg,ZA,-23.9045,29.4688,65.25,68,4,5.75,clear sky
167,Bilibino,RU,68.0546,166.4372,-28.17,96,100,4.27,overcast clouds
168,Nanortalik,GL,60.1432,-45.2371,22.12,78,100,6.24,overcast clouds
169,Staryy Nadym,RU,65.6118,72.6842,-9.38,100,61,5.28,broken clouds
170,Hasaki,JP,35.7333,140.8333,37.8,78,100,11.72,overcast clouds
171,Rafraf,TN,37.1904,10.1837,44.91,63,0,7.72,clear sky
172,Taltal,CL,-25.4,-70.4833,68.02,69,78,5.37,broken clouds
173,Nerchinskiy Zavod,RU,51.3088,119.61,-11.74,99,100,1.19,overcast clouds
174,Dieppe,FR,49.75,1.1667,37.18,91,3,5.59,clear sky
175,Armeria,MX,18.9333,-103.9667,84.54,44,93,7.54,overcast clouds
176,Nemuro,JP,43.3236,145.575,26.13,65,100,5.08,overcast clouds
177,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,40,4.61,scattered clouds
178,Rensvik,NO,63.1,7.8167,48.47,57,75,14.97,broken clouds
179,Geraldton,AU,-28.7667,114.6,72.01,83,0,13.8,clear sky
180,Markova,UA,48.6758,24.4138,14.92,97,100,3.53,light snow
181,Mednogorsk,RU,51.4128,57.595,0.95,95,44,8.77,scattered clouds
182,Kodiak,US,57.79,-152.4072,38.71,93,100,9.22,mist
183,Lichinga,MZ,-13.3128,35.2406,60.04,98,100,4.61,overcast clouds
184,Cidreira,BR,-30.1811,-50.2056,81.03,78,43,13.27,scattered clouds
185,Katherine,AU,-14.4667,132.2667,79.12,94,99,9.22,overcast clouds
186,Wattegama,LK,6.7989,81.4808,66.61,87,100,1.77,overcast clouds
187,Avera,US,33.194,-82.5271,55.9,35,0,11.34,clear sky
188,Upernavik,GL,72.7868,-56.1549,-13.83,64,1,5.66,clear sky
189,Saldanha,ZA,-33.0117,17.9442,68.05,97,57,19.55,broken clouds
190,Yulara,AU,-25.2406,130.9889,73.24,60,0,8.05,clear sky
191,Mar Del Plata,AR,-38.0023,-57.5575,82.42,50,0,10.0,clear sky
192,Dingli,MT,35.8614,14.3822,49.82,66,20,8.05,few clouds
193,Sistranda,NO,63.7256,8.834,47.89,71,100,45.95,overcast clouds
194,Chuy,UY,-33.6971,-53.4616,77.88,86,87,11.14,overcast clouds
195,Makakilo City,US,21.3469,-158.0858,79.12,63,100,5.75,overcast clouds
196,Swan Hill,AU,-35.3378,143.5544,78.33,35,97,9.22,overcast clouds
197,Healesville,AU,-37.65,145.5167,75.9,50,100,2.33,overcast clouds
198,Hami,CN,42.8,93.45,22.73,60,0,6.02,clear sky
199,Takhtamygda,RU,54.1,123.5667,-15.11,99,5,2.06,clear sky
200,Rusape,ZW,-18.5278,32.1284,59.52,98,100,9.33,overcast clouds
201,Dunedin,NZ,-45.8742,170.5036,55.8,80,100,3.0,overcast clouds
202,Liwale,TZ,-9.7667,37.9333,69.19,95,100,4.09,light rain
203,Lufilufi,WS,-13.8745,-171.5986,83.98,73,100,6.67,overcast clouds
204,Solnechnyy,RU,50.7214,136.6319,-13.34,96,24,3.71,few clouds
205,Santa Isabel,BR,-23.3156,-46.2214,82.11,85,73,4.45,broken clouds
206,Tigil,RU,57.8,158.6667,-2.94,99,100,3.06,overcast clouds
207,Pangai,TO,-19.8,-174.35,81.19,74,32,10.27,scattered clouds
208,Grand Forks,US,47.9417,-97.4337,1.78,85,100,20.71,overcast clouds
209,Tuatapere,NZ,-46.1333,167.6833,55.81,63,71,1.92,broken clouds
210,Margate,GB,51.3813,1.3862,42.96,75,100,3.0,overcast clouds
211,Matara,LK,5.9485,80.5353,73.04,88,100,2.86,overcast clouds
212,Port Lincoln,AU,-34.7333,135.8667,68.34,95,66,6.89,broken clouds
213,Isparta,TR,38.0,31.0,14.76,92,100,16.6,light snow
214,Flinders,AU,-34.5833,150.8552,68.2,90,98,4.0,overcast clouds
215,Opuwo,NA,-18.0607,13.84,76.93,35,91,5.73,overcast clouds
216,Comodoro Rivadavia,AR,-45.8667,-67.5,75.06,20,40,27.63,scattered clouds
217,Oriximina,BR,-1.7656,-55.8661,80.42,88,94,2.42,overcast clouds
218,Kahului,US,20.8947,-156.47,81.66,73,20,14.97,few clouds
219,Kutum,SD,14.2,24.6667,61.54,14,12,8.57,few clouds
220,Fortuna,US,40.5982,-124.1573,69.85,45,0,3.4,clear sky
221,Calvinia,ZA,-31.4707,19.776,76.59,47,93,6.26,light rain
222,Ronneby,SE,56.21,15.276,39.7,100,100,6.91,mist
223,Ahipara,NZ,-35.1667,173.1667,68.52,87,100,11.48,light rain
